Genre,Poem
Sorrow,I press your old letters to my skin hoping the ink will seep back into you
Death,The obituary editor corrects 'passed away' to 'passed through'
Sorrow,I wear your memory like a watch that stopped at your last breath
Music,"And in the outer world, the first, something smooth and wet. An     Xskims across the tops of the crests in a succession of skips. The     longestholds its space in the air, pauses, then descends into what is a cool     sleep."
Environment,"The deer is still alive in the roadside grass. In an hour, we'll cut her open,her left hip broken, the bonein her dark body; now the white Camaroshocked in the night and the boywet-faced in the back seat,his parents at a lossby the hood, too youngto"
Environment,The river whispers its secrets to stubborn stones
Sorrow,Grief is the echo that outlives the voice
Environment,The avalanche writes its will in exclamation marks of snow
Death,The funeral roses pretend not to hear the dirt's gossip
Sorrow,I sleep on your side of the bed to fool the emptiness
Environment,"Our heart wanders lost in the dark woods. Our dream wrestles in the castle of doubt. But there's Music in us. Hope is pushed down but the angel flies up again taking us with her. The summer mornings begin inch by inch while we sleep, and walk with us later as long-legged beauty through the dirty streets."
Sorrow,I wear your memory like a watch that stopped at your last heartbeat
Environment,The lightning mends the sky's black fabric with temporary thread
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Music,"Jazz spills like accidental alchemy, wrong notes brewing perfect chemistry"
Death,"47. I want to make a dark mirror out of writing: one child facing the other, like Dora and little Hans. I want to write, for example, about the violence done to my father's body as a child. In this re-telling, India is blue, green, black and yellow like the"
Music,"I'm few deja-vus from repeating my whole life I need to study the shapes of things before Death Before declaring myself a better failure: waiting mostly for files to get uploaded or downloaded. My movements are by the book. I will remember history, all of it, before uttering the next sentence And in its"
Sorrow,I collect your voice in glass jars but the syllables fade like distant stars
Environment,"Dandelions wage guerrilla warfare, conquering cracks in concrete despair"
Music,The harp plucks sunlight from the air like ripe fruit
Sorrow,I sleep on your side of the bed to haunt your absence
Environment,The lightning mends the sky's black fabric with temporary thread
Music,The theremin sings the ghost of a touch that never happened
Environment,"I'd like to see the tree as it once stood before me, childhood, the branch and leaf a single form of transport, ecstasy shaking my body I give to the leaves, the leaves return, my stare all interchange.But that was when I had a sky to name since I had a belief in constancy like everyone."
Environment,Dawn arrives as a shy watercolorist washing night from the sky
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Death,The hospice nurse said your pulse was like a timid bird finally flying
Music,"And in the outer world, the first, something smooth and wet. An     Xskims across the tops of the crests in a succession of skips. The     longestholds its space in the air, pauses, then descends into what is a cool     sleep."
Environment,The thunder drums its calloused fingers on the sky's tight skin
Environment,"New fronds unfurl from the jointsof older ones, like fists slow to open in forgiveness but will inevitably inforgetfulness—that kind of newness green as the green of new ferns snaking fastup the old hosts’ throats turning brownbeneath the ever-creep without a sound (to us— all we hear’s waves)."
Death,The gravestone weathers faster than the lie of 'forever'
Affection,"Thy fingers make early flowers of all things. thy hair mostly the hours love: a smoothness which sings,saying (though love be a day) do not fear,we will go amaying.thy whitest feet crisply are straying. Always thy moist eyes are at kisses playing, whose strangeness much says;singing (though love be a day) for which girl art thou flowers bringing?To be thy lips is"
Death,The funeral procession moved like a sentence missing its period
Affection,"The door was opened and I saw you thereAnd for the first time heard you speak my name.Then like the sun your sweetness overcameMy shy and shadowy mood; I was awareThat joy was hidden in your happy hair,And that for you love held no hint of shame;My eyes caught light"
Sorrow,Grief is the echo that outlasts the voice
Environment,The fog erases the world one pixel at a time
Music,"Six months ago, the measuring of whiskey left in the jug, urine on the mattress, couch cushions, the crotch of pants in wear. You watch how breath lifts a chest, how a person breathes— sick hobbies of when we must. You watch how you become illiterate at counting. Six or seven broken breathalyzers; a joke formulates in"
Music,It turns out however that I was deeply Mistaken about the end of the world
Music,The war ships bobbing off the coast.                         The outdated oil drills paintedso to blend into the clouds. The gold thin                         stitched to the water’s edge. Errant dolphin.Balled up
Death,"The clock's hands wilt like dying flowers, time bows before eternal hours"
Music,The church organ exhales centuries of dust through its pipes
Affection,We are two shadows sharing one silhouette at noon
Death,"Brother, today I sit on the brick bench outside the house,where you make a bottomless emptiness. I remember we used to play at this hour of the day, and mamawould calm us: ""There now, boys..."" Now I go hide as before, from all these eveningprayers, and I hope that you"
Sorrow,My ribs are wind chimes clinking empty tunes when storms pass through
Sorrow,I wear your memory like a watch that stopped at your last breath
Death,"Because I love you, and beneath the uncountable starsI have become the delicate piston threading itself through your chest,I want to tell you a story I shouldn’t but will, and in the meantime neglect, Love,the discordant melody spilling from my ears but attend,instead, to this tale, for a river burns"
Music,The theremin sings the ghost of a touch that never happened
Environment,"’Tis the witching time of night,Orbed is the moon and bright,And the Stars they glisten, glisten,Seeming with bright eyes to listen.For what listen they?For a song and for a charm,See they glisten in alarm,And the Moon is waxing warmTo hear what I shall say.Moon! keep wide thy golden ears—Hearken, Stars!"
Affection,"That Mississippi chicken shack. That initial-scarred tabletop, that tiny little dance floor to the left of the band. That kiosk at the mall selling caramels and kitsch. That tollbooth with its white-plastic-gloved worker handing you your change. That phone booth with the receiver ripped out. That dressing room in the fetish boutique, those curtains and mirrors. That funhouse, that"
Death,The gravestone weathers faster than the lie of 'forever'
Music,The bassoon gargles its dark wine of lonely midnights
Sorrow,My ribs are wind chimes clinking empty tunes when storms pass through
Death,The hospice nurse smoothed your pillow like a bookmark
Death,"Cashel, Ireland, 2,000 B.C. In ancient Ireland, bogs were sacred areas; a cool wetland mirage metersdeep of peat during demoralizingdrought. Greenish-brown landscapeof mystery, insufferably slow plantgrowth. What must a farmer have thought as his wife offered a vessel of golden butter to appease a mercilessdeity? He plunges his hand"
Sorrow,I wear your memory like a wristwatch that stopped at your last breath
Affection,"She had me in the car. I came forward like a song. We did it before temple, after temple, between prayers. The windows echoed her mantras, our cries warmed the air. Two peaks merged, then sank below the clouds.We did it before temple, after temple, between prayers. Her stomach began to show and people"
Sorrow,Your absence is the splinter I can't remove but always feel
Affection,"White in the moon the long road lies, The moon stands blank above; White in the moon the long road lies That leads me from my love.Still hangs the hedge without a gust, Still, still the shadows stay:"
Affection,Your smile is a semaphore my heart decodes without a manual
Death,"The urn weighs less than your laugh ever did, physics is a liar"
Sorrow,Your absence is the phantom limb I keep reaching to touch
Affection,Your freckles connect into constellations only my lips can trace
Sorrow,I still set your place at the table though the chair stays empty
Affection,"We will count on these walls to whisper our resumes to the strangers who take up the work of these rooms,forwarding them past dust."
Sorrow,My bones are wind chimes clinking empty tunes when storms pass through
Affection,"Staring at the stars, I imagine you vanished and dispersed in that unreachable clarity of light. They glisten, sharp and cold, vast distances apart yet coming to their marks the same time every night of their season.The seasons slowly move, carrying their forms— I recognize so few: Orion with his belt dominating winter, a wobbly W, the dipper’s angled box and handle, each bright dot individually jeweled there.Nothing"
Environment,"The glacier writes its memoir in slow, icy cursive"
Environment,The dandelions plant their fuzzy flags in concrete cracks
Environment,"“It is your very self” I tell him. He has never seen me.His quick coin of breath disappears on the glass as it forms: airthat feeds his bones their portionwillingly as it feeds mine.He spends his here,besieged by the dull birds who gather"
Music,"it ends my sleep to want my story about my skin melting in the sun that day of summer and a doctor who tells me i am dying, that thing i hide under my nails like dirt scratched from summer skin. so i pick up a pencil and begin to erase myself. erasure is"
Affection,"Where's Madge then, Madge and her men? buried with Alice in her hair, (but if you ask the rain he'll not tell where.)beauty makes terms with time and his worms, when loveliness says sweetly Yes to wind and cold; and how much earth is Madge worth? Inquire of the flower that sways in the autumn she will never guess. but i know"
Affection,"Oh see how thick the goldcup flowers Are lying in field and lane, With dandelions to tell the hours That never are told again. Oh may I squire you round the meads And pick you posies gay? —’Twill do no harm to take my"
Death,The gravedigger's shovel sings the same note in every language
Music,And seriously now the guitar is beating me up It is shoving me into the narrow range of its cheerful melancholy And all sorts of feelings I want to have I cannot My feet start to move in exactly the same way They did for so many years each time I entered The tin shack
Death,"“Lights out"" along the land, “Lights out” upon the sea. The night must put her hiding hand O’er peaceful towns where children sleep, And peaceful ships that darkly creep Across the waves, as if they were not free.The dragons of the air, The hell-hounds of the deep, Lurking and prowling everywhere, Go forth to seek their helpless prey, Not"
Death,The hearse carries all the tomorrows you'll never spend
Sorrow,I still buy your favorite tea though it gathers dust
Affection,"She recognizes its crest in the way he looks at her. The wave is as vast as the roiling mass in the Japanese Print they had paused in front of at the museum, Capped with ringlets of foam, all surging sinew. That little village along the shore would be Totally lost. There is no escaping"
Environment,"These wet rocks where the tide has been,   Barnacled white and weeded brownAnd slimed beneath to a beautiful green,   These wet rocks where the tide went downWill show again when the tide is high   Faint and perilous, far from shore,No place to dream, but a place to die,—   The bottom"
Music,The piano's black keys are ravens pecking at the moon's corpse
Affection,"We lay in shade diaphanous And spoke the light that burns in usAs in the glooming’s net I caught her, She shimmered like reflected water!Romantic and emphatic moods Are not for her whom life eludes...Its vulgar tinsel round her fold? She'd rather shudder with the cold,Attend just this elusive hour, A shadow in a shadow"
Death,"Do not pretend that you don't like it when we threaten you.We see you getting pheromone stink under the collar, moaning, baldly. Motionless, picturing decay.When we creak your step, when we crack your glass, when we tap tap tap,that is a bonethat is all we havethough we are very shiny, and filled with beetles.We are"
Environment,This painting of a barn and barnyard near sundown May be enough to suggest we don’t have to turn From the visible world to the invisible In order to grasp the truth of things. We don’t always have to distrust appearances. Not if we’re patient. Not if we’re willing To wait for the sun to reach
Environment,The avalanche whispers its secrets to the valley below
Sorrow,I still buy your favorite tea though it gathers dust
Affection,Your smile is the only sunrise I need to wake up to
Music,"When it comes at me in the mirror with its meaningramping up until it passes and lowers in pitch, I’m onthe bit of the M1 where it bisects the Ring of Gullion and I switch lanes, and let my right foot alleviateits weight on the accelerator of"
Affection,Your laughter is my favorite form of time travel
Music,The metronome ticks like a tiny guillotine for seconds
Sorrow,Grief is a taxidermist stuffing absence with cotton and sawdust
Affection,"We share silence like split pomegranates, juicy with unspoken seeds"
Music,The theremin sings the ghost of touches that never landed
Music,"When I rose into the cradle of my mother’s mind, she was but a girl, fighting her sisters over a flimsy doll. It’s easy to forget how noiseless I could be spying from behind my mother’s eyes as her mother, bulging with a baby, a real-life Tiny Tears, eclipsed the doorway with a moon. We all fell silent. My"
Affection,"We are twin flames burning the same oxygen, sharing one lung"
Music,The clarinet sobs into its wine-dark wooden throat
Death,"I will begin with bracesstrung across a man’s teethas a downed kite mightstring itself across four lanesof a seven-lane highwayand bid a barefooted childto wade into evening trafficand slip. I will not focuson the wasp at the window,the cat’s white hair stretchingalong this orange peel,or even the train’s green breath,its"
Music,The metronome chops time into neat little coffins
Music,The church organ exhales centuries of dust through its pipes
Environment,The lightning stitches the sky's black fabric with temporary thread
Affection,We are two tides bound to the same moon's silent command
Affection,Your heartbeat is the only drumroll my ears ever applauded
Death,"for Seamus Heaney a box of coconut watertwo cans of coconut milk so many looking for help some people care when a poet dies a poem is a consciencea report card, a confession: today my lies were a motor that spun the Earth how can you get"
Environment,The wildfire writes its will in ember runes
Environment,The creek tongues every stone smooth as a mother's worry
Death,The mortician applied your smile like wallpaper over silence
Environment,"More than the fuchsia funnels breaking outof the crabapple tree, more than the neighbor’salmost obscene display of cherry limbs shovingtheir cotton candy-colored blossoms to the slatesky of Spring rains, it’s the greening of the treesthat really gets to me. When all the shock of whiteand taffy, the world’s baubles and"
Death,"Gravestones grow from flesh like crystals, memory's slow geology"
Sorrow,Grief is the echo that outlives the voice
Environment,The wildfire writes its manifesto in ember runes
Affection,"O Winter! frozen pulse and heart of fire,What loss is theirs who from thy kingdom turnDismayed, and think thy snow a sculptured urnOf Death! Far sooner in midsummer tireThe streams than under ice. June could not hireHer roses to forego the strength they learnIn"
Affection,"The sleepy shark rolls from bed at the sound of the bell: the fisherman's foot ringing in the water. On the pier a young girl purchases a dried apricot from a vendor and rolls its wrinkled skin over her tongue before biting down. Behind tightly drawn curtains, the boy who"
Sorrow,I wear your old shirts as bandages over invisible wounds
Death,"The candle flickers its last goodbye, shadows stretch as light takes flight"
Death,"It to take; or was it to be unpacked?Packed it might signify Death. The windDeath the wind calculating your lesson—hast thou learned a thing? The name ofa thing. I am still defiant, of the presumption,as articulated. I passed himin his velveteen jacket worn elbows. Theenculturated elbows of Death need patches.Do"
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Environment,"Where an ash bush grows in the lakea ring of stones has broken coverin this summer's drought.Not high enough to be an island,it holds a disc of stiller waterin the riffled lake. Trees have reclaimed the railway line behind us;behind that, the road goes"
Environment,Frost embroiders the grass with silver thread each dawn
Affection,Your voice is the lighthouse guiding me through fogged memories
Death,The mortician applied your smile like wallpaper over silence
Death,"Three days into his wake my father has not risen.He remains encased in pine, hollowed- out, his body unsealed, organsharvested, then zipperedshut like a purse. How strange to see one’s face insidea coffin. The son at my most peaceful.The father at his most peaceful. Not even"
Environment,The dandelions plant their fuzzy flags in concrete cracks
Death,The funeral procession moved like a sentence missing its period
Affection,"Shall I compare thee to a summer's day? Thou art more lovely and more temperate. Rough winds do shake the darling buds of May, And summer's lease hath all too short a date. Sometime too hot the eye of heaven shines, And often is his gold complexion dimmed; And every fair from fair sometime declines, By chance,"
Affection,"Wine comes in at the mouthAnd love comes in at the eye;That’s all we shall know for truthBefore we grow old and die.I lift the glass to my mouth, I look at you, and I sigh."
Environment,The thunder drums its fat fingers on the sky's tight skin
Sorrow,I wear your old t-shirts as bandages for wounds no one sees
Sorrow,I wear your old shirts as bandages over invisible wounds
Death,"Upon his will he binds a radiant chain, For Freedom’s sake he is no longer free. It is his task, the slave of Liberty, With his own blood to wipe away a stain. That pain may cease, he yields his flesh to pain."
Sorrow,I call your voicemail just to hear the robot say your name
Sorrow,Your absence is the hole in every conversation's doughnut
Affection,"We lay in shade diaphanous And spoke the light that burns in usAs in the glooming’s net I caught her, She shimmered like reflected water!Romantic and emphatic moods Are not for her whom life eludes...Its vulgar tinsel round her fold? She'd rather shudder with the cold,Attend just this elusive hour, A shadow in a shadow"
Music,"The wipers sweep two overlapping hillson the glass, we are quiet against thesqueaky metronome as we often arebefore the concerns of the day well up.Today: Is it dark inside my body?The wet cedar’s dark of green-gone-blackof damp earth mending itself,a pewter bell rung into night’s collectedsigh, choral and sleep-sunk.Dark as"
Sorrow,I call your voicemail just to hear the robot say your name
Environment,The volcano licks its lips with tongues of molten rock
Sorrow,I keep your last text like a life raft in my pocket
Environment,"The faceless couple in Van Gogh's blue wood, is walking where there is no path, amid tall, seemingly branchless blue and pink trees. The tree crowns are beyond the frame, reaching up into our mind's eye— because we know where trees go and that they are full of wind and a thousand softly stirring machines that"
Music,"A second Death in as many days and I succeed at beingStrong and contained, until the tweetWhere one young brother says I’m not scared of dying, I’m scared of breaking my mother’s heart. I am flesh Two rooms down the hall from my mother’s flesh Holding in my hands the news"
Music,"Maybe silence adds to the pain and maybe pain adds to the sea and maybe the sea is only a reflection of a ruin today where the mind is unable to make out how things used to be for us: complete, with deities, a kind oforder. Oh never mind the ATMsscattered throughout the medieval"
Environment,The glacier writes its memoir in slow icy cursive
Environment,"The jacaranda blooms beside the drunk stick tree.Come. I see you swelling with nectar. Hear you,Venteveos, shriek till night. Come. See me.The jacaranda blooms beside the drunk stick tree.The violent violet petals pollen weep.A bichofeo sings of you with open throat and beak.A jacaranda blooms beside the drunk stick tree.I"
Music,The theremin sings ghost duets with the space between fingers and air
Affection,Your voice is the lighthouse guiding me through fogged memories
Environment,The canyon carves its slow poem in layers of ancient rock
Music,"I watched in horror as the man hung half a pig by a hook in the window.Nearby, the sea shone or something. Nearby, the wingspan of a hawk cast an elongated shadow.I listened with horror to the words I was missing. A wrongness was growing in the living moon.& nearby, the sea rolled"
Affection,We are parallel lines intersecting at infinity's party
Sorrow,Grief is the echo that outlasts the voice
Death,"(For Edward J. Wheeler)Within the Jersey City shed The engine coughs and shakes its head. The smoke, a plume of red and white, Waves madly in the face of night. And now the grave incurious stars Gleam on the groaning hurrying"
Death,"I'm few deja-vus from repeating my whole life I need to study the shapes of things before Death Before declaring myself a better failure: waiting mostly for files to get uploaded or downloaded. My movements are by the book. I will remember history, all of it, before uttering the next sentence And in its"
Sorrow,"Tears carve rivers on cheeks of stone, grief's weight turns flesh to bone"
Sorrow,I dial your number just to hear the void say 'disconnected'
Music,"The violin weeps notes like silver rain, each string a heartbeat, each pause a pain"
Environment,"And I behold once moreMy old familiar haunts; here the blue river,The same blue wonder that my infant eyeAdmired, sage doubting whence the traveller came,—Whence brought his sunny bubbles ere he washedThe fragrant flag-roots in my father’s fields,And where thereafter in the world he went.Look, here he is, unaltered, save"
Death,"Listen, children: Your father is dead. From his old coats I'll make you little jackets; I'll make you little trousers From his old pants. There'll be in his pockets Things he used to put there, Keys and pennies Covered with tobacco; Dan shall have the pennies To save in his bank; Anne shall have the keys To make a pretty noise with. Life must"
Music,"The wipers sweep two overlapping hillson the glass, we are quiet against thesqueaky metronome as we often arebefore the concerns of the day well up.Today: Is it dark inside my body?The wet cedar’s dark of green-gone-blackof damp earth mending itself,a pewter bell rung into night’s collectedsigh, choral and sleep-sunk.Dark as"
Environment,"Lightning forks the sky's black cake, serving portions of electric plasma"
Sorrow,I call your voicemail just to hear the robot say your name
Sorrow,Your favorite song plays in every supermarket aisle like a taunt
Affection,"You are beautiful and faded,Like an old opera tunePlayed upon a harpsichord;Or like the sun-flooded silksOf an eighteenth-century boudoir. In your eyesSmoulder the fallen roses of outlived minutes,And the perfume of your soulIs vague and suffusing,With the pungence of sealed spice-jars.Your half-tones delight me,And I grow mad with gazingAt your"
Affection,"On the other side of the river there is a flame a flame burning Mayburning Augustwhen the pagoda tree blooms, the professor with lentigo bows to her when orange blossoms fall, an heir of graceful demeanor waves to her and smilesyet on the other side of the river she remains, still burning like the underwater glistening"
Environment,The ocean stitches tides to shorelines with silver needle foam
Death,The coffin ate your shadow and now the sun lies about noon
Music,she ambles toward El Norte she remembers as she stepswasps & spiders webbed in between the corn in Fowlerher mamá Concha’s story the fire she fanned to clearthe path through the thick burned stalks all thisshe almost-touches the blueberries in Skagit Washington& the line of men wrapped as cocoons and
Sorrow,I dial your number just to hear the void say 'disconnected'
Death,if the body is just a parableabout the body if breathis a leash to hold the mindthen staying alive should beeasier than it is most sickthings become dead thingsat twenty-four my liver was already covered in fatty rot my mother filled a tiny coffin with picture frames
Death,"The clock's hands wilt like dying flowers, time bows before eternal hours"
Death,"Someone has died, who will never see the black joylight expand in her mother’s blue eyes. Who will never grasp a pinky, nor be danced up, down and around and lullabied all night. Someone who will never come to realize that her Dada’s palms aren’t dirty, they’re just brown. Who made HER mother, HIM father, then"
Affection,"What lips my lips have kissed, and where, and why,I have forgotten, and what arms have lainUnder my head till morning; but the rainIs full of ghosts tonight, that tap and sighUpon the glass and listen for reply,And in my heart there stirs a quiet"
Death,The hospice clock ticks like a mute judge counting down
Environment,"The glacier writes its memoir in slow, icy cursive"
Death,The gravedigger's shovel bites earth like a starving mouth
Death,"I was sympathetic to language, but often it shrugged me and kept other lovers. I crawled through the commas of Romanticism and rejected the rhythms, though sometimes at night I could feel a little sad. I could emerge nowinto a new kind of style, but the marketis already flooded and my people have lost"
Affection,"When the fields catch flower   And the underwood is green,And from bower unto bower   The songs of the birds begin,   I sing with sighing between.When I laugh and sing,   I am heavy at heart for my sin;I am sad in the spring   For my love that I shall not win,For a foolish thing.This profit I"
Affection,"When the lad for longing sighs, Mute and dull of cheer and pale, If at death’s own door he lies, Maiden, you can heal his ail.Lovers’ ills are all to buy: The wan look, the hollow tone, The hung head, the sunken eye,"
Death,my father's dying makes stairs of every line of text seeming neither to go up or down   stop   that I make the nodding motion to help myself feel I understand stopin common with his bafflement I find comprehension alone will not suffice stopthat I begin to find other books in other rooms
Music,"The eye chews the apple,sends the brainan image of the un-apple. Which is similarto the way I throw my voicelike a Frisbee, like saltover a shoulder, a birthday partywhere someone’s brotheris grilling hot dogs, a little speedin his blood,some red balloons. The eyeis the most deceptiveorgan in the body.Followed closely"
Death,"My mother never forgave my father for killing himself, especially at such an awkward time and in a public park, that spring when I was waiting to be born. She locked his name in her deepest cabinet and would not let him out, though I could hear him thumping. When I came down from the attic with the pastel portrait in"
Affection,We are synchronized swimmers in an ocean we created
Sorrow,I dial your number just to hear the void say 'disconnected'
Music,The piano hammers bite the strings like silver wolves
Death,"Who goes there? hankering, gross, mystical, nude; How is it I extract strength from the beef I eat?What is a man anyhow? what am I? what are you?All I mark as my own you shall offset it with your own, Else it were time lost listening to me.I do not snivel that"
Environment,"Dandelions wage guerrilla warfare, conquering cracks in concrete despair"
Environment,"Meanwhile, a splash of blue paint falls from SUBJECT 199's bucket, traverses the sidewalk, travels down the one-way street, colors the roads, the signposts, and the streetlights in the new true hue and forks into a hundred paths that lead to a thousand houses, coating the fences and gates, blanketing"
Music,The violin's bow draws scars across the silence
Environment,The wildfire writes its manifesto in ember runes
Death,"I shake a notebook of emptypages and say, It’s all in here    Every word of it    Dead dogs and stolenproperty    Embraceddebauchery    For 35 years I hadno story to tell    Only wordsin need of form    Every breatha bomb    An infinitespace to fill    I see now that deathis just an idea    A"
Music,No tears No tips No meters No nips [wellmayb] No Lyft No Uber No 1-8hundo But he do wanna kno How yubeen? Where’d yu go? & yu kno yu best talkharder 2 pin his desire Even
Environment,The avalanche writes its will in exclamation points of snow
Environment,"Every time the bucks went clattering Over Oklahoma A firecat bristled in the way.Wherever they went, They went clattering, Until they swerved, In a swift, circular line, To the right, Because of the firecat.Or until they swerved, In a swift, circular line, To the left, Because of the firecat.The bucks clattered. The firecat went leaping, To the right, to the left, And Bristled in"
Sorrow,Your absence is the hole in every conversation's doughnut
Environment,The dandelions plant their fuzzy flags in concrete cracks
Death,"Not hers but mine. Not hers ever again. Everhers, my body pulled through, twolong windows open in the dark of birth,the gold cord raised too in its wake. Awake,the first morning. The first morning & all,all the windows were closed inside. A blindnessscalding broken sight. The silence pulled throughmy nostrils"
Environment,The tide erases our footprints with its salty tongue
Affection,"When I touch your skin and goosebumps lift,it’s your mind that surfaces there.When your iris tightens mechanicallyaround your pupil, that aperturebecomes for me the blacked-outcockpit of your mind.                                        It’s your mindthat"
Music,The bassoon gargles its dark wine of lonely midnights
Sorrow,My ribs are wind chimes clinking empty tunes when storms pass through
Affection,We are two flames sharing one wick
Death,The autopsy found your heart was a library with all the books checked out
Sorrow,I wear your memory like a watch that stopped at your last heartbeat
Environment,"The faceless couple in Van Gogh's blue wood, is walking where there is no path, amid tall, seemingly branchless blue and pink trees. The tree crowns are beyond the frame, reaching up into our mind's eye— because we know where trees go and that they are full of wind and a thousand softly stirring machines that"
Death,Yellow gold is meaningless Learning is better than pearls A woman without brilliance Leaves nothing but dim children You can hawk your gold if you’re hungry Sell your mule when you’re desperate What can you do with so many poems Sprouting dead hairs in an empty coffin *Lotus: pink dewlapped
Death,"Memory—died August 3, 2015.  Thedeath was not sudden but slowly over adecade.  I wonder if, when people die,they  hear  a  bell.   Or  if  they  tastesomething sweet, or if they feel a knifecutting them in half, dragging throughthe flesh like sheet cake.  The caretakerwho witnessed my mother’s Death quit. She holds the"
Music,The church bells swing their bronze skirts in the tower's stone ballroom
Affection,We are two shadows holding hands at high noon
Sorrow,"Your toothbrush stands sentinel in the holder, still loyal"
Environment,"Dandelions wage guerrilla warfare, conquering cracks in concrete despair"
Music,"I watched in horror as the man hung half a pig by a hook in the window.Nearby, the sea shone or something. Nearby, the wingspan of a hawk cast an elongated shadow.I listened with horror to the words I was missing. A wrongness was growing in the living moon.& nearby, the sea rolled"
Death,"O God, my dream! I dreamed that you were dead; Your mother hung above the couch and wept Whereon you lay all white, and garlanded With blooms of waxen whiteness. I had crept Up to your chamber-door, which stood ajar, And in the doorway watched you from afar, Nor dared advance to kiss your lips and"
Music,The metronome chops time into neat little coffins
Sorrow,I wear your memory like a wristwatch that stopped at your last breath
Affection,"On the Canadian side, we're standing far enough away the Falls look like photography, the roar a radio.In the real rain, so vertical it fuses with the air, the boat below us is starting for the caves.Everyone on deck is dressed in black, braced for weather and crossing against the current of the"
Death,"Listen, children: Your father is dead. From his old coats I'll make you little jackets; I'll make you little trousers From his old pants. There'll be in his pockets Things he used to put there, Keys and pennies Covered with tobacco; Dan shall have the pennies To save in his bank; Anne shall have the keys To make a pretty noise with. Life must"
Sorrow,I keep your last text like a life raft in my pocket
Music,"You know how it pretendsto have a broken wing tolure predators away from itsnest, how it staggers just outof reach . . . if, at this moment, you’re feeling metaphorical,nest can be the whateverinside us that we think needsprotection, the whatever that issmall"
Music,After the exhibition “La Gravedad de Los Asuntos (Matters of Gravity)” The Mexicans and the Russians were always in on itThis is
Affection,Your voice is my personal north in this magnetized world
Death,"Thirteen on ice, skating, I died. Boys dragged soft fields with the lifts in their shoes. We'd gone in search of the other, the fat girl. Hurried to drown her past Hurricane Ridge. White snowed on white, ice over feathers. Cutters knit sweaters, buried alive. Our parents wore dog suits"
Environment,The tide licks the shore clean of our footprints
Music,"We pay to enter the dirty pen. We buy small bags of feed to feed the well-fed animals. We are guests in their home, our feet on their sawdust floor. We pretend not to notice the stench. Theirs is a predictable life. Better, I guess, than the slaughter, is the many-handed god. Me? I’m going to leave here, eat a"
